排名,标题,热度
0,  沙漠里的湖是怎样复活的？ , 4942650 
1,  美国国务卿布林肯抵达北京 , 4945829 
2,  胡兵50万积分被东航清零 , 4813436 
3,  “三夏”农忙正当时 , 4784965 
4,  父亲节 , 4663764 
5,  20岁快递员猥亵50岁阿姨被行拘 , 4524837 
6,  高管密集来华释放什么信号 , 4438592 
7,  香港名媛蔡天凤葬礼举行 , 4360177 
8,  半个奢侈品圈都在李宇春演唱会 , 4262562 
9,  谢娜唱《她她她》引争议 , 4156917 
10,  端午公司发了3颗荔枝 , 4004028 
11,  美媒就布林肯访华发谬论 华春莹驳斥 , 3911231 
12,  马云现身杭州围观数学竞赛 , 3800018 
13,  布林肯：将及时与韩方共享访华成果 , 3795696 
14,  榜一大哥是我爸 , 3664443 
15,  百果园回应女子团购西瓜被嘲讽 , 3523410 
16,  中学老师跳10多米高桥救轻生女 , 3468004 
17,  球迷冲进场跪拜C罗举高高 , 3357903 
18,  董路说贵州村超像跳广场舞 , 3291518 
19,  女子为保护儿子连刺丈夫3刀被判无罪 , 3173576 
20,  女生称没穿内衣取外卖被骑手骚扰 , 3089111 
21,  董宇辉称曾拒税后2亿年薪工作 , 2919158 
22,  大学生“以证换狗”走红背后 , 2880667 
23,  球迷把梅西亲笔签名纹在手臂上 , 2785619 
24,  韩媒：孙准浩被正式批捕 , 2601335 
25,  官方：顶格处罚鼠头鸭脖涉事企业 , 2558275 
26,  向华强说以后珠宝都给郭碧婷 , 2460142 
27,  深圳邮局海关查获秘鲁巨人蜈蚣 , 2313768 
28,  黄渤上半身vs下半身 , 2290897 
29,  媒体:指鼠为鸭人员面临何种处分？ , 2175037 
30,  广州一龙舟队全是富婆？当地：事实 , 2049585 
