排名,标题,热度
0,  习近平会见比尔·盖茨 , 4967478 
1,  普京称第一部分核装置已运抵白俄 , 4924219 
2,  跳江救人小哥希望不要再给他捐钱 , 4875149 
3,  高质量发展调研行 , 4763124 
4,  世界最有钱的两个人一起吃饭 , 4601382 
5,  北约要俄削减核武库 普京当场爆粗口 , 4533618 
6,  陈乔恩被青蛙求婚 , 4441145 
7,  贪官入狱落泪:送钱的还问我啥时出去 , 4319770 
8,  抱婴儿男子被按在地 派出所回应 , 4297676 
9,  广州龙舟赛125条猛龙争霸 , 4166795 
10,  男子被辅警推下斜坡 多人被处理 , 4095076 
11,  陈冠希晒照祝欧阳娜娜生日快乐 , 3934752 
12,  迪丽热巴真发了100多张自拍 , 3816427 
13,  秋瓷炫 我不是不要脸 , 3763153 
14,  沥青车事故遇难母子家属：没人道歉 , 3677770 
15,  舅舅私自处置孤女遗产被判赔130万 , 3539684 
16,  刘烨法国老婆近照沧桑变化大 , 3489358 
17,  男子为他人取快递被发现毒品判无期 , 3322442 
18,  男子看守所放风被在押人员踹残 , 3211654 
19,  新闻学教授怒怼张雪峰 , 3119230 
20,  村庄20天“地震”35次 村民：像放炮 , 3077002 
21,  美光宣布对西安工厂投资43亿元 , 2904435 
22,  谢娜三公排名跌至第六 , 2838352 
23,  货车撞上奔驰反被奔驰车主请吃饭 , 2749851 
24,  广东暴雨积水成河 有人屋内钓鱼 , 2657559 
25,  特朗普说请支持者吃饭却没买单 , 2587497 
26,  张雪峰回应质疑:专业要选能吃上饭的 , 2446256 
27,  基辛格就中美关系发出“严厉警告” , 2354707 
28,  男子突发奇想将甜瓜和西瓜嫁接 , 2208108 
29,  日警察向外籍女子喊回中国去 , 2167895 
30,  学校回应把学生百余份外卖扔垃圾桶 , 2019026 
