排名,标题,热度
0,  习近平会见比尔·盖茨 , 4964560 
1,  男子为他人取快递被发现毒品判无期 , 4956932 
2,  普京称第一部分核装置已运抵白俄 , 4808591 
3,  高质量发展调研行 , 4733842 
4,  谢娜李维嘉吴昕录制新综艺 , 4619222 
5,  刘烨法国老婆近照沧桑变化大 , 4570690 
6,  迪丽热巴真发了100多张自拍 , 4413805 
7,  张雪峰回应质疑:专业要选能吃上饭的 , 4371692 
8,  跳江救人小哥希望不要再给他捐钱 , 4291003 
9,  村庄20天“地震”35次 村民：像放炮 , 4153317 
10,  谢娜三公排名跌至第六 , 4082508 
11,  日警察向外籍女子喊回中国去 , 3936023 
12,  00后奶爸抱双胞胎毕业获校长随礼 , 3891152 
13,  基辛格就中美关系发出“严厉警告” , 3788794 
14,  郭碧婷穿衣风格向太化 , 3680541 
15,  阿姨收到工资反塞给老板500块 , 3591483 
16,  《消失的她》预售票房破千万 , 3494372 
17,  40岁女子被社区打错宫颈癌疫苗 , 3355468 
18,  天大扣饭事件后烤鸭饭窗口排长队 , 3264567 
19,  男生中考忘涂卡妈妈大哭?发布者辟谣 , 3191283 
20,  阿里总裁谈马云近况：他在东京教书 , 3002380 
21,  跳江救人小哥被奖励10万元和一套房 , 2969920 
22,  国足赢了！4-0大胜缅甸 , 2850904 
23,  特朗普说请支持者吃饭却没买单 , 2735494 
24,  杜江问梅西嗯哼的签名照是真迹吗 , 2693214 
25,  越南开始担心被“抢饭碗”了 , 2516501 
26,  女子拆145个盲盒拒付款 , 2420944 
27,  山西煤矿事故监控曝光：工人被甩飞 , 2329124 
28,  女子烈日下举牌求前夫复婚 , 2224753 
29,  女子租房一年才发现指纹锁脚都能开 , 2134076 
30,  比尔盖茨回复黄晓明 , 2047915 
