排名,标题,热度
0,  沙漠里的湖是怎样复活的？ , 4996223 
1,  美国国务卿布林肯抵达北京 , 4977542 
2,  胡兵50万积分被东航清零 , 4859688 
3,  “三夏”农忙正当时 , 4751406 
4,  布林肯将与多名中方高级官员会面 , 4638293 
5,  鼠头鸭身周边9.9元一个 月售过百 , 4523668 
6,  跨省存款火了：存50万差价5000 , 4458957 
7,  因偷拍事件停聘川大毕业生?公司回应 , 4369990 
8,  半个奢侈品圈都在李宇春演唱会 , 4231259 
9,  女子为保护儿子连刺丈夫3刀被判无罪 , 4171810 
10,  父亲节 , 4082850 
11,  香港名媛蔡天凤葬礼举行 , 3918646 
12,  大叔高铁上脱鞋“味太大”引冲突 , 3803762 
13,  老人高铁霸座称“打死我也不起” , 3708772 
14,  谢娜唱《她她她》引争议 , 3635451 
15,  大学生“以证换狗”走红背后 , 3502521 
16,  端午公司发了3颗荔枝 , 3496807 
17,  中学老师跳10多米高桥救轻生女 , 3325024 
18,  球迷冲进场跪拜C罗举高高 , 3261891 
19,  榜一大哥是我爸 , 3172650 
20,  大雾致航班取消 乘客骂哭机场员工 , 3064456 
21,  20岁快递员猥亵50岁阿姨被行拘 , 2936567 
22,  村庄20天震动35次村民不安谁能解 , 2854199 
23,  人不在学校却被抬到校长面前拨穗 , 2758816 
24,  马云现身杭州围观数学竞赛 , 2693777 
25,  当地线人还原美军偷油经过 , 2596067 
26,  董宇辉称曾拒税后2亿年薪工作 , 2467056 
27,  美媒就布林肯访华发谬论 华春莹驳斥 , 2391248 
28,  黄渤上半身vs下半身 , 2206083 
29,  美国父亲将3个儿子排成一排枪杀 , 2109837 
30,  女生称没穿内衣取外卖被骑手骚扰 , 2082223 
