排名,标题,热度
0,  习近平会见比尔·盖茨 , 4922512 
1,  普京称第一部分核装置已运抵白俄 , 4918875 
2,  男子为他人取快递被发现毒品判无期 , 4881976 
3,  高质量发展调研行 , 4782347 
4,  谢娜李维嘉吴昕录制新综艺 , 4638545 
5,  刘烨法国老婆近照沧桑变化大 , 4559079 
6,  迪丽热巴真发了100多张自拍 , 4473883 
7,  秋瓷炫 我不是不要脸 , 4306676 
8,  张雪峰回应质疑:专业要选能吃上饭的 , 4225940 
9,  跳江救人小哥希望不要再给他捐钱 , 4113542 
10,  湖南一地悬赏2万寻无名女尸身份 , 4088253 
11,  日警察向外籍女子喊回中国去 , 3934075 
12,  救人小哥想用捐款反哺家乡教育 , 3881902 
13,  合肥一女婴凌晨被丢弃在马路边 , 3756685 
14,  郭碧婷穿衣风格向太化 , 3606664 
15,  文旅部:演唱会门票实名制为抵制黄牛 , 3534340 
16,  欧委会称将不再采购华为中兴设备 , 3421192 
17,  马云与汪涵聚餐发福变胖 , 3321900 
18,  00后奶爸抱双胞胎毕业获校长随礼 , 3205165 
19,  40岁女子被社区打错宫颈癌疫苗 , 3105143 
20,  村庄20天“地震”35次 村民：像放炮 , 3041438 
21,  阿姨收到工资反塞给老板500块 , 2992732 
22,  阿里总裁谈马云近况：他在东京教书 , 2870868 
23,  苏醒见完梅西后安慰来迟的薛之谦 , 2743331 
24,  国足赢了！4-0大胜缅甸 , 2627253 
25,  《消失的她》预售票房破千万 , 2547034 
26,  比尔盖茨回复黄晓明 , 2487658 
27,  越南开始担心被“抢饭碗”了 , 2328104 
28,  拥抱梅西球迷同款球鞋搜索量暴涨 , 2277035 
29,  跳江救人小哥被奖励10万元和一套房 , 2152493 
30,  杜江问梅西嗯哼的签名照是真迹吗 , 2090610 
