排名,标题,热度
0,  习近平会见比尔·盖茨 , 4900899 
1,  普京称第一部分核装置已运抵白俄 , 4921486 
2,  跳江救人小哥希望不要再给他捐钱 , 4843771 
3,  高质量发展调研行 , 4748596 
4,  世界最有钱的两个人一起吃饭 , 4608212 
5,  北约要俄削减核武库 普京当场爆粗口 , 4549217 
6,  刘烨法国老婆近照沧桑变化大 , 4436746 
7,  贪官入狱落泪:送钱的还问我啥时出去 , 4350810 
8,  秋瓷炫 我不是不要脸 , 4279964 
9,  货车撞上奔驰反被奔驰车主请吃饭 , 4105732 
10,  陈冠希晒照祝欧阳娜娜生日快乐 , 4096944 
11,  家长找商家退猫遭拒把猫摔死 , 3946621 
12,  广州龙舟赛125条猛龙争霸 , 3827921 
13,  舅舅私自处置孤女遗产被判赔130万 , 3711811 
14,  男子为他人取快递被发现毒品判无期 , 3622052 
15,  公司为政府开发系统时造成数据泄露 , 3590019 
16,  村庄20天“地震”35次 村民：像放炮 , 3416144 
17,  迪丽热巴真发了100多张自拍 , 3332125 
18,  中国足球能从“村超”里学点什么 , 3226019 
19,  男子被辅警推下斜坡 多人被处理 , 3171012 
20,  辅警将冲卡男子推下斜坡被辞退 , 3012742 
21,  冲场拥抱梅西球迷被行拘 , 2930513 
22,  日警察向外籍女子喊回中国去 , 2802345 
23,  00后奶爸抱双胞胎毕业获校长随礼 , 2724802 
24,  阿里总裁谈马云近况：他在东京教书 , 2655576 
25,  抱婴儿男子被按在地 派出所回应 , 2558067 
26,  男子被法院判三年“禁酒” , 2482944 
27,  张雪峰回应质疑:专业要选能吃上饭的 , 2387840 
28,  郭碧婷穿衣风格向太化 , 2243783 
29,  40岁女子被社区打错宫颈癌疫苗 , 2143067 
30,  国足赢了！4-0大胜缅甸 , 2040601 
