排名,标题,热度
0,  习近平会见比尔·盖茨 , 4995267 
1,  男子为他人取快递被发现毒品判无期 , 4917891 
2,  阿里总裁谈马云近况：他在东京教书 , 4822755 
3,  高质量发展调研行 , 4799150 
4,  国足赢了！4-0大胜缅甸 , 4682171 
5,  救人小哥想用捐款反哺家乡教育 , 4593853 
6,  父亲回应苏翊鸣圆梦清华：专业未定 , 4453397 
7,  郭碧婷穿衣风格向太化 , 4368188 
8,  男子被法院判三年“禁酒” , 4241081 
9,  马云与汪涵聚餐发福变胖 , 4155574 
10,  安保追逐冲进球场球迷时在笑 , 4045330 
11,  40岁女子被社区打错宫颈癌疫苗 , 3914797 
12,  学校回应把学生百余份外卖扔垃圾桶 , 3869129 
13,  女子拆145个盲盒拒付款 , 3748160 
14,  女子烈日下举牌求前夫复婚 , 3619969 
15,  日警察向外籍女子喊回中国去 , 3526516 
16,  旅行社回应女导游被指色情营销 , 3478523 
17,  天大扣饭事件后烤鸭饭窗口排长队 , 3378685 
18,  文旅部:演唱会门票实名制为抵制黄牛 , 3276480 
19,  《消失的她》预售票房破千万 , 3122824 
20,  女子深夜流浪街头称想当美女主播 , 3015702 
21,  冲场拥抱梅西球迷被行拘 , 2903488 
22,  男子看守所放风被在押人员踹残 , 2833793 
23,  女生失联7天后被发现死亡 , 2726767 
24,  山西煤矿事故监控曝光：工人被甩飞 , 2680443 
25,  女子租房一年才发现指纹锁脚都能开 , 2522108 
26,  泽连斯基回应特朗普言论 , 2486917 
27,  残障女孩们被校长猥亵 家属发声 , 2302009 
28,  女子“只打卡不上班”被辞 , 2252475 
29,  阿姨收到工资反塞给老板500块 , 2152513 
30,  英国前首相约翰逊找到新工作 , 2081964 
