排名,标题,热度
0,  中国空间站最新在轨视频发布 , 4926349 
1,  梅西回应被迫“宅”酒店 , 4917132 
2,  私人山庄被造谣鬼屋 房主：不敢回了 , 4827448 
3,  高温下 致敬他们的坚守 , 4729365 
4,  疑似俄军督战队射杀逃兵画面曝光 , 4612112 
5,  高校干部车内出轨被女方婆婆抓现行 , 4557219 
6,  NBA总冠军游行活动意外频出 , 4463756 
7,  这座一线城市要限电动自行车 , 4348703 
8,  狂热球迷冲进场拥抱梅西被抬走 , 4235284 
9,  男生中考忘涂卡妈妈大哭?发布者辟谣 , 4191872 
10,  苏翊鸣获得清华大学保送资格 , 4077785 
11,  梅西看到儿子海报眼睛都瞪大了 , 3941939 
12,  48岁吴彦祖颜值回春 , 3870979 
13,  TFBOYS十年之约演唱会官宣 , 3799185 
14,  河南一年结婚登记量少近11万 , 3679719 
15,  女生摆摊卖鸡脚边卖边吃 , 3509692 
16,  海底捞回应8块钱生菜仅2片 , 3480699 
17,  南宁一公司招实习生月薪300元被骂 , 3392743 
18,  老人手术台喊痛 病历却写麻醉满意 , 3298353 
19,  霍思燕带嗯哼看梅西比赛 , 3112278 
20,  超40度高温来袭 , 3046460 
21,  贵州村超代表为梅西送牌匾 , 2905058 
22,  贾跃亭未按时履行2.4亿罚款被限消 , 2898218 
23,  冲进球场抱梅西球迷面临什么处罚 , 2708014 
24,  家长质疑收费被班主任踢出群 , 2685565 
25,  安保追逐冲进球场球迷时在笑 , 2540837 
26,  官方:一周工作一小时及以上属于就业 , 2476515 
27,  新娘回应结婚退租打扫房间留喜糖 , 2328099 
28,  男子出海离奇身亡 其女悬赏50万追凶 , 2213432 
29,  大爷抢座失败后坐女子腿上 , 2191846 
30,  女子遭50岁男邻居趴地偷窥1年 , 2056137 
